Author,Author Birth,Author Death,Author Given,Author Surname,Copyright Status,Language,LoC Class,Num,Subject,Title,charset,gd-num-padded,gd-path,href,Number of Authors,Number of Genres,is_english_fiction,original_path,tokenized_path,cw_df_path,Author Birth Century
['Jules Verne'],[1828],[1905],['Jules'],['Verne'],['Not copyrighted in the United States.'],['English'],"['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",83,"['Space flight to the moon -- Fiction', 'Science fiction']","['From the Earth to the Moon; and, Round the Moon']",utf-8,83,000/00083.txt,/etext93/moon10.zip,1,2,True,../data/gutenberg-dammit-files/000/00083.txt,../data/gutenberg-dammit-files/000/00083_tagged.pickle,../data/gutenberg-dammit-files/000/00083_cw_df.pickle,1800
['Mary Wollstonecraft Shelley'],[1797],[1851],['Mary Wollstonecraft'],['Shelley'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],84,"['Frankenstein (Fictitious character) -- Fiction', 'Monsters -- Fiction', 'Scientists -- Fiction', 'Horror tales', 'Science fiction']",['Frankenstein'],us-ascii,84,000/00084.txt,/8/84/84.zip,1,5,True,../data/gutenberg-dammit-files/000/00084.txt,../data/gutenberg-dammit-files/000/00084_tagged.pickle,../data/gutenberg-dammit-files/000/00084_cw_df.pickle,1700
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",85,"['Jungle animals -- Fiction', 'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories']",['Beasts of Tarzan'],us-ascii,85,000/00085.txt,/8/85/85.zip,1,4,True,../data/gutenberg-dammit-files/000/00085.txt,../data/gutenberg-dammit-files/000/00085_tagged.pickle,../data/gutenberg-dammit-files/000/00085_cw_df.pickle,1800
['Mark Twain'],[1835],[1910],['Mark'],['Twain'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],86,"['Satire', 'Fantasy fiction', 'Britons -- Fiction', 'Kings and rulers -- Fiction', 'Arthurian romances -- Adaptations', 'Americans -- Great Britain -- Fiction', 'Time travel -- Fiction', 'Knights and knighthood -- Fiction']","[""A Connecticut Yankee in King Arthur's Court""]",us-ascii,86,000/00086.txt,/8/86/86.zip,1,8,True,../data/gutenberg-dammit-files/000/00086.txt,../data/gutenberg-dammit-files/000/00086_tagged.pickle,../data/gutenberg-dammit-files/000/00086_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",90,"['Fantasy fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction']",['Son of Tarzan'],us-ascii,90,000/00090.txt,/9/90/90.zip,1,3,True,../data/gutenberg-dammit-files/000/00090.txt,../data/gutenberg-dammit-files/000/00090_tagged.pickle,../data/gutenberg-dammit-files/000/00090_cw_df.pickle,1800
['Mark Twain'],[1835],[1910],['Mark'],['Twain'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],91,"['Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Americans -- Foreign countries -- Fiction', 'Balloon ascensions -- Fiction']",['Tom Sawyer Abroad'],us-ascii,91,000/00091.txt,/9/91/91.zip,1,4,True,../data/gutenberg-dammit-files/000/00091.txt,../data/gutenberg-dammit-files/000/00091_tagged.pickle,../data/gutenberg-dammit-files/000/00091_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",92,"['Fantasy fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction']",['Tarzan and the Jewels of Opar'],us-ascii,92,000/00092.txt,/9/92/92.zip,1,3,True,../data/gutenberg-dammit-files/000/00092.txt,../data/gutenberg-dammit-files/000/00092_tagged.pickle,../data/gutenberg-dammit-files/000/00092_cw_df.pickle,1800
['Mark Twain'],[1835],[1910],['Mark'],['Twain'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],93,"['Detective and mystery stories', 'Sawyer, Tom (Fictitious character) -- Fiction']","['Tom Sawyer, Detective']",us-ascii,93,000/00093.txt,/9/93/93.zip,1,2,True,../data/gutenberg-dammit-files/000/00093.txt,../data/gutenberg-dammit-files/000/00093_tagged.pickle,../data/gutenberg-dammit-files/000/00093_cw_df.pickle,1800
['Willa Sibert Cather'],[1873],[1947],['Willa Sibert'],['Cather'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],94,"['Bridges -- Design and construction -- Fiction', 'Married people -- Fiction', 'Mistresses -- Fiction', 'Boston (Mass.) -- Fiction', 'London (England) -- Fiction', 'Psychological fiction', 'Civil engineers -- Fiction']","[""Alexander's Bridge""]",us-ascii,94,000/00094.txt,/9/94/94.zip,1,7,True,../data/gutenberg-dammit-files/000/00094.txt,../data/gutenberg-dammit-files/000/00094_tagged.pickle,../data/gutenberg-dammit-files/000/00094_cw_df.pickle,1800
['Anthony Hope'],[1863],[1933],['Anthony'],['Hope'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],95,"['British -- Foreign countries -- Fiction', 'Impostors and imposture -- Fiction', 'Adventure stories']",['The Prisoner of Zenda'],us-ascii,95,000/00095.txt,/9/95/95.zip,1,3,True,../data/gutenberg-dammit-files/000/00095.txt,../data/gutenberg-dammit-files/000/00095_tagged.pickle,../data/gutenberg-dammit-files/000/00095_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],96,['Science fiction'],['The Monster Men'],us-ascii,96,000/00096.txt,/9/96/96.zip,1,1,True,../data/gutenberg-dammit-files/000/00096.txt,../data/gutenberg-dammit-files/000/00096_tagged.pickle,../data/gutenberg-dammit-files/000/00096_cw_df.pickle,1800
